Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x4B55A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xC7BEA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xC7BEA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xC7BEA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xC7BEA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xC7BEA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xC7BEA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xC7BEA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xC7BEA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xC7BEA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xA69DA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xA69DA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xA69DA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xA69DA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xA69DA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xA69DA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xA69DA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xA69DA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xA69DA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x6273A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x6273A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x6273A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x6273A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x6273A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x6273A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x6273A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x6273A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x6273A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x78B2A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x78B2A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x78B2A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x78B2A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x78B2A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x78B2A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x78B2A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x78B2A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x78B2A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x78B2A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x78B2A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x78B2A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x78B2A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x78B2A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x78B2A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x78B2A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x78B2A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x78B2A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x78B2A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x78B2A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x78B2A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x78B2A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x78B2A530
